"Subscription","ResourceGroup","ResourceType","ResourceName","AccessType","AllowedIPs","RuleOrConfig","PortRange"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-dev-a","Microsoft.Network/publicIPAddresses","phoenix2-dev-developer-publicip","Public IP","13.67.235.167","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-dev-a","Microsoft.Network/publicIPAddresses","phoenix2-dev-a-aks-agw-public-ip","Public IP","20.9.1.86","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-dev-a-nodes","Microsoft.Network/publicIPAddresses","kubernetes-a5a512e73491249e59b6ab9808e1ecc4","Public IP","20.221.119.220","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-dev-a-nodes","Microsoft.Network/publicIPAddresses","7233ab5f-d16d-49fe-8008-535b654728de","Public IP","20.236.237.19","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-qa","Microsoft.Network/publicIPAddresses","phoenix2-qa-aks-application-gateway-public-ip","Public IP","52.165.0.23","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-qa","Microsoft.Network/publicIPAddresses","phoenix2-qa-aks-vnet-gateway-public-ip","Public IP","Not Assigned","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-qa","Microsoft.Sql/servers","phoenix2-qa-sql","SQL Server Firewall","0.0.0.0 (All IPs)","AllowAllWindowsAzureIps","1433"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-qa-nodes","Microsoft.Network/publicIPAddresses","kubernetes-aec11d4a86ad141419e3a87bcf25db90","Public IP","20.84.169.98","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-qa-nodes","Microsoft.Network/publicIPAddresses","47710bd1-0f30-413d-8079-0f212e4a77e4","Public IP","13.86.103.99","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-uat-a","Microsoft.Network/publicIPAddresses","phoenix2-uat-a-aks-jumpbox-public-ip","Public IP","20.69.21.227","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-uat-a","Microsoft.Network/publicIPAddresses","phoenix2-uat-a-vnet-gateway-public-ip","Public IP","13.78.162.64","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-uat-a","Microsoft.Network/publicIPAddresses","phoenix2-uat-a-aks-application-gateway-public-ip","Public IP","20.69.22.183","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-uat-a","Microsoft.Network/publicIPAddresses","phoenix2-uat-a-vnet-ip","Public IP","20.165.157.194","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-uat-a-nodes","Microsoft.Network/publicIPAddresses","461fb474-d13b-414b-b3b2-20485426b063","Public IP","20.69.60.212","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-uat-a-nodes","Microsoft.Network/publicIPAddresses","kubernetes-a32e10bdb672d46398771600dacfe321","Public IP","20.165.161.3","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-uat-a-nodes","Microsoft.Network/publicIPAddresses","kubernetes-a7c37b48b705a4c48a3904ee4dee06d6","Public IP","20.69.54.207","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-uat-a-nodes","Microsoft.Network/publicIPAddresses","kubernetes-a7cd6752cdc5140debb6ca8a80740eeb","Public IP","13.78.181.231","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-uat-b","Microsoft.Network/publicIPAddresses","phoenix2-uat-b-aks-agw-public-ip","Public IP","172.202.41.71","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-uat-b-nodes","Microsoft.Network/publicIPAddresses","kubernetes-a67add7808e1e4dbda93cb13b4fc4705","Public IP","20.112.245.131","Direct Public Access","All"
"55d24ba2-8e52-4205-9de5-9acd58ce7a84","phoenix2-uat-b-nodes","Microsoft.Network/publicIPAddresses","5d7242b1-0120-471e-8603-0acece7839bf","Public IP","20.109.242.146","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod","Microsoft.Network/publicIPAddresses","phoenix2-prod0-aks-jumpbox-public-ip","Public IP","13.71.208.87","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod","Microsoft.Network/publicIPAddresses","phoenix2-prod0-aks-application-gateway-public-ip","Public IP","52.161.2.7","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod","Microsoft.Network/publicIPAddresses","phoenix2-prod1-aks-jumpbox-public-ip","Public IP","20.231.22.30","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod","Microsoft.Network/publicIPAddresses","phoenix2-prod1-aks-vnet-gateway-public-ip","Public IP","52.255.238.136","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod","Microsoft.Network/publicIPAddresses","phoenix2-prod1-aks-application-gateway-public-ip","Public IP","13.82.150.197","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod","Microsoft.Network/publicIPAddresses","phoenix2-prod0-aks-vnet-gateway-public-ip","Public IP","52.161.88.26","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod","Microsoft.Network/publicIPAddresses","phoenix2-prod0-aks-vnet-ip","Public IP","52.161.15.134","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod-a","Microsoft.Network/publicIPAddresses","phoenix2-prod-a1-vnet-gateway-public-ip","Public IP","20.115.122.3","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod-a","Microsoft.Network/publicIPAddresses","phoenix2-prod-a0-aks-jumpbox-public-ip","Public IP","20.69.27.17","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod-a","Microsoft.Network/publicIPAddresses","phoenix2-prod-a1-aks-application-gateway-public-ip","Public IP","4.227.195.86","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod-a","Microsoft.Network/publicIPAddresses","phoenix2-prod-a1-aks-jumpbox-public-ip","Public IP","20.127.84.197","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod-a","Microsoft.Network/publicIPAddresses","phoenix2-prod-a0-aks-application-gateway-public-ip","Public IP","20.69.24.24","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod-a","Microsoft.Network/publicIPAddresses","phoenix2-prod-a0-vnet-gateway-public-ip","Public IP","13.78.203.33","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod-a0-aks-nodes","Microsoft.Network/publicIPAddresses","84f23218-0d17-4c48-8d70-50dd90bc5959","Public IP","20.69.21.94","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod-a0-aks-nodes","Microsoft.Network/publicIPAddresses","kubernetes-aab8bbf88416b44d89724b6447d3e5c5","Public IP","13.78.164.158","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod-a1-aks-nodes","Microsoft.Network/publicIPAddresses","kubernetes-a4eca48fc37fc485e9ba006675e7de32","Public IP","172.212.70.253","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod-a1-aks-nodes","Microsoft.Network/publicIPAddresses","47d7c91d-9b3e-4e5d-9abd-a904e9518df3","Public IP","20.85.178.31","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod0-aks-nodes","Microsoft.Network/publicIPAddresses","kubernetes-a885854a378434268b58fba408434e06","Public IP","52.161.152.207","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod0-aks-nodes","Microsoft.Network/publicIPAddresses","4e06d365-5dfb-4850-8fde-39c8f301b1f0","Public IP","52.161.6.0","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod1-aks-nodes","Microsoft.Network/publicIPAddresses","36bfc41a-6cdd-4698-85ee-e5fde3728793","Public IP","20.231.235.203","Direct Public Access","All"
"a2f59314-f9a8-444f-8b6e-59525dda90f5","phoenix2-prod1-aks-nodes","Microsoft.Network/publicIPAddresses","kubernetes-a72a84b2f72734217bd79792893bfb9e","Public IP","52.234.171.254","Direct Public Access","All"
"c3c7bba1-b60e-4b14-aa3b-2cb0b3dc81f3","dev-network","Microsoft.Network/publicIPAddresses","qa-phoenix-02","Public IP","4.255.225.44","Direct Public Access","All"
"c3c7bba1-b60e-4b14-aa3b-2cb0b3dc81f3","dev-network","Microsoft.Network/publicIPAddresses","dev-vpn-gateway-ip","Public IP","13.71.212.125","Direct Public Access","All"
"c3c7bba1-b60e-4b14-aa3b-2cb0b3dc81f3","dev-network","Microsoft.Network/publicIPAddresses","qa-phoenix-01","Public IP","52.161.95.220","Direct Public Access","All"
"c3c7bba1-b60e-4b14-aa3b-2cb0b3dc81f3","dev-network","Microsoft.Network/publicIPAddresses","dev-phoenix-02","Public IP","13.78.138.194","Direct Public Access","All"
"c3c7bba1-b60e-4b14-aa3b-2cb0b3dc81f3","dev-sql","Microsoft.Sql/servers","ilending-dev","SQL Server Firewall","0.0.0.0 (All IPs)","AllowAllWindowsAzureIps","1433"
"c3c7bba1-b60e-4b14-aa3b-2cb0b3dc81f3","iLDWVD-EastUS","Microsoft.Network/publicIPAddresses","iLDWVD-Prod-03-ip","Public IP","20.169.235.172","Direct Public Access","All"
"c3c7bba1-b60e-4b14-aa3b-2cb0b3dc81f3","iLDWVD-EastUS","Microsoft.Network/publicIPAddresses","iLDWVDGWpip","Public IP","52.146.87.114","Direct Public Access","All"
